response,cv,region,identity,experience,date,ssyk1,vacancy,sent,ssyk
"",1,Stockholm,1,3,2018-09-26,8,1257,2018-09-27,8329
Ja,2,Stockholm,1,1,2018-05-16,8,1470,2018-05-17,8329
"",3,Stockholm,2,2,2018-06-08,8,1603,2018-06-11,8329
"",1,Stockholm,1,2,2018-10-19,8,56,2018-10-18,8329
"",3,Stockholm,2,1,2018-10-19,8,56,2018-10-21,8329
"",2,Stockholm,3,3,2018-10-19,8,56,2018-10-22,8329
"",2,Stockholm,1,3,2018-05-16,8,2204,2018-05-15,8332
Ja,1,Stockholm,1,1,2018-03-26,8,2854,2018-03-25,8332
"",3,Stockholm,4,2,2018-05-16,8,2204,2018-05-16,8332
Intresserad,2,Stockholm,2,3,2018-03-26,8,2854,2018-03-26,8332
"",1,Stockholm,3,1,2018-05-16,8,2204,2018-05-17,8332
Ja,3,Stockholm,4,2,2018-03-26,8,2854,2018-03-27,8332
"",3,Stockholm,1,3,2018-08-08,8,1385,2018-08-07,8213
"",2,Stockholm,3,2,2018-08-08,8,1385,2018-08-08,8213
"",1,Stockholm,4,1,2018-08-08,8,1385,2018-08-09,8213
"",2,Stockholm,1,3,2018-08-17,8,946,2018-08-16,8151
"",1,Stockholm,4,1,2018-08-17,8,946,2018-08-19,8151
"",3,Stockholm,3,2,2018-08-17,8,946,2018-08-20,8151
"",3,Stockholm,4,1,2018-09-19,9,2475,2018-09-18,9412
"",2,Stockholm,1,3,2018-09-19,9,2475,2018-09-19,9412
"",1,Stockholm,2,2,2018-09-19,9,2475,2018-09-20,9412
"",2,Stockholm,3,3,2018-05-25,9,94,2018-05-24,9412
"",3,Stockholm,2,1,2018-05-25,9,94,2018-05-27,9412
"",1,Stockholm,4,2,2018-05-25,9,94,2018-05-28,9412
"",1,Stockholm,1,3,2018-08-08,9,1506,2018-08-07,9412
"",2,Stockholm,3,2,2018-03-26,9,2647,2018-03-25,9412
"",1,Stockholm,3,1,2018-04-16,9,2978,2018-04-15,9412
"",3,Stockholm,4,1,2018-08-08,9,1506,2018-08-08,9412
"",3,Stockholm,4,1,2018-03-26,9,2647,2018-03-26,9412
"",3,Stockholm,4,3,2018-04-16,9,2978,2018-04-16,9412
"",2,Stockholm,2,2,2018-08-08,9,1506,2018-08-09,9412
"",1,Stockholm,1,3,2018-03-26,9,2647,2018-03-27,9412
"",2,Stockholm,2,2,2018-04-16,9,2978,2018-04-17,9412
"",2,Stockholm,1,3,2018-05-09,9,3027,2018-05-08,9111
"",1,Stockholm,4,2,2018-05-09,9,3027,2018-05-09,9111
"",3,Stockholm,2,1,2018-05-09,9,3027,2018-05-10,9111
"",1,Malmö,1,3,2018-05-04,3,781,2018-05-03,3322
"",2,Malmö,3,1,2018-05-04,3,781,2018-05-06,3322
"",3,Malmö,4,2,2018-05-04,3,781,2018-05-07,3322
"",2,Malmö,1,1,2018-08-15,4,1509,2018-08-14,4225
"",3,Malmö,2,3,2018-08-15,4,1509,2018-08-15,4225
"",1,Malmö,3,2,2018-08-15,4,1509,2018-08-16,4225
"",2,Malmö,3,1,2018-04-20,5,114,2018-04-19,5223
"",1,Malmö,1,3,2018-04-20,5,114,2018-04-22,5223
"",3,Malmö,2,2,2018-04-20,5,114,2018-04-23,5223
"",3,Malmö,1,2,2018-08-14,5,1824,2018-08-13,5312
"",2,Malmö,4,1,2018-08-14,5,1824,2018-08-14,5312
"",1,Malmö,3,3,2018-08-14,5,1824,2018-08-15,5312
Nej,1,Malmö,3,1,2018-08-14,5,2728,2018-08-13,5242
Nej,3,Malmö,4,3,2018-08-14,5,2728,2018-08-14,5242
Nej,2,Malmö,2,2,2018-08-14,5,2728,2018-08-15,5242
"",3,Malmö,2,2,2018-10-26,5,2663,2018-10-25,5312
"",1,Malmö,3,3,2018-10-26,5,2663,2018-10-29,5312
"",2,Malmö,1,1,2018-10-26,5,2663,2018-10-30,5312
"",3,Malmö,4,3,2018-09-28,5,2373,2018-09-27,5342
"",1,Malmö,2,2,2018-09-28,5,2373,2018-09-30,5342
"",2,Malmö,1,1,2018-09-28,5,2373,2018-10-01,5342
"",2,Malmö,2,2,2018-08-15,7,1302,2018-08-14,7412
"",3,Malmö,3,3,2018-08-15,7,1302,2018-08-15,7412
"",1,Malmö,1,1,2018-08-15,7,1302,2018-08-16,7412
"",3,Malmö,1,3,2018-09-12,8,543,2018-09-11,8213
"",2,Malmö,3,1,2018-09-12,8,543,2018-09-12,8213
"",1,Malmö,2,2,2018-09-12,8,543,2018-09-13,8213
